??:??:??  $GPGSV,3,1,10,03,30,129,34,06,56,277,47,11,24,297,40,14,48,020,46*74
17:54:21  $GPGSV,3,1,11,03,30,129,37,06,57,276,47,11,24,297,36,14,47,020,45*7B
17:54:21  $GPGSV,3,2,11,17,59,135,47,19,59,198,46,20,03,336,33,24,09,243,27*78
17:54:21  $GPGSV,3,3,11,28,,,43,36,48,022,44,49,48,337,48*77
17:54:21  $GLGSV,3,1,09,65,00,162,,66,24,113,33,67,21,057,25,79,31,348,40*6D
17:54:21  $GLGSV,3,2,09,80,52,264,,81,26,134,35,82,51,195,43,83,32,255,28*69
17:54:21  $GLGSV,3,3,09,,,,27*69
17:54:21  $GNGLL,3352.55881,S,01836.68969,E,175421.00,A,D*69
17:54:22  $GNRMC,175422.00,A,3352.55876,S,01836.68972,E,0.074,,190822,,,D*72
17:54:22  $GNVTG,,T,,M,0.074,N,0.137,K,D*3E
17:54:22  $GNGGA,175422.00,3352.55876,S,01836.68972,E,2,11,0.94,228.2,M,31.2,M,,0000*5C
17:54:22  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.84*16
17:54:22  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.84*14
17:54:22  $GPGSV,3,1,11,03,30,129,38,06,57,276,46,11,24,297,35,14,47,020,46*75
17:54:22  $GPGSV,3,2,11,17,59,135,46,19,59,198,46,20,03,336,33,24,09,243,26*78
17:54:22  $GPGSV,3,3,11,28,,,41,36,48,022,44,49,48,337,47*7A
17:54:22  $GLGSV,3,1,09,65,00,162,,66,24,113,33,67,21,057,28,79,31,348,42*62
17:54:22  $GLGSV,3,2,09,80,52,264,,81,26,134,34,82,51,195,44,83,32,255,27*60
17:54:22  $GLGSV,3,3,09,,,,26*68
17:54:22  $GNGLL,3352.55876,S,01836.68972,E,175422.00,A,D*68
17:54:23  $GNRMC,175423.00,A,3352.55856,S,01836.68970,E,0.871,352.73,190822,,,D*60
17:54:23  $GNVTG,352.73,T,,M,0.871,N,1.613,K,D*2D
17:54:23  $GNGGA,175423.00,3352.55856,S,01836.68970,E,2,11,0.94,228.6,M,31.2,M,,0000*59
17:54:23  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.84*16
17:54:23  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.84*14
17:54:23  $GPGSV,3,1,11,03,30,129,34,06,57,276,46,11,24,297,39,14,47,020,45*76
17:54:23  $GPGSV,3,2,11,17,59,135,44,19,59,198,47,20,03,336,32,24,09,243,27*7B
17:54:23  $GPGSV,3,3,11,28,,,42,36,48,022,45,49,48,337,45*7A
17:54:23  $GLGSV,3,1,09,65,00,162,,66,24,113,36,67,21,057,35,79,31,348,40*69
17:54:23  $GLGSV,3,2,09,80,52,264,,81,26,134,32,82,51,195,46,83,32,255,28*6B
17:54:23  $GLGSV,3,3,09,,,,41*69
17:54:23  $GNGLL,3352.55856,S,01836.68970,E,175423.00,A,D*69
17:54:24  $GNRMC,175424.00,A,3352.55790,S,01836.68953,E,3.020,348.51,190822,,,D*67
17:54:24  $GNVTG,348.51,T,,M,3.020,N,5.593,K,D*26
17:54:24  $GNGGA,175424.00,3352.55790,S,01836.68953,E,2,11,0.94,228.5,M,31.2,M,,0000*59
17:54:24  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.84*16
17:54:24  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.84*14
17:54:24  $GPGSV,3,1,11,03,30,129,35,06,57,276,46,11,24,297,39,14,47,020,46*74
17:54:24  $GPGSV,3,2,11,17,59,135,44,19,59,198,48,20,03,336,24,24,09,243,27*73
17:54:24  $GPGSV,3,3,11,28,,,41,36,48,022,45,49,48,337,46*7A
17:54:24  $GLGSV,3,1,09,65,00,162,,66,24,113,36,67,21,057,35,79,31,348,41*68
17:54:24  $GLGSV,3,2,09,80,52,264,,81,26,134,35,82,51,195,45,83,32,255,28*6F
17:54:24  $GLGSV,3,3,09,,,,26*68
17:54:24  $GNGLL,3352.55790,S,01836.68953,E,175424.00,A,D*6A
17:54:25  $GNRMC,175425.00,A,3352.55656,S,01836.68924,E,5.540,349.15,190822,,,D*69
17:54:25  $GNVTG,349.15,T,,M,5.540,N,10.260,K,D*1D
17:54:25  $GNGGA,175425.00,3352.55656,S,01836.68924,E,2,11,0.94,228.8,M,31.2,M,,0000*5E
17:54:25  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.84*16
17:54:25  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.84*14
17:54:25  $GPGSV,3,1,11,03,30,129,34,06,57,276,43,11,24,297,35,14,47,020,45*7F
17:54:25  $GPGSV,3,2,11,17,59,135,46,19,59,198,45,20,03,336,23,24,09,243,*7E
17:54:25  $GPGSV,3,3,11,28,,,42,36,48,022,44,49,48,337,46*78
17:54:25  $GLGSV,3,1,09,65,00,162,,66,24,113,29,67,21,057,35,79,31,348,42*65
17:54:25  $GLGSV,3,2,09,80,52,264,,81,26,134,35,82,51,195,45,83,32,255,29*6E
17:54:25  $GLGSV,3,3,09,,,,37*68
17:54:25  $GNGLL,3352.55656,S,01836.68924,E,175425.00,A,D*60
17:54:26  $GNRMC,175426.00,A,3352.55451,S,01836.68881,E,8.206,350.12,190822,,,D*66
17:54:26  $GNVTG,350.12,T,,M,8.206,N,15.197,K,D*14
17:54:26  $GNGGA,175426.00,3352.55451,S,01836.68881,E,2,11,0.94,228.9,M,31.2,M,,0000*57
17:54:26  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.84*16
17:54:26  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.84*14
17:54:26  $GPGSV,3,1,11,03,30,129,27,06,57,276,46,11,24,297,27,14,47,020,43*7D
17:54:26  $GPGSV,3,2,11,17,59,135,49,19,59,198,43,20,03,336,22,24,09,243,*76
17:54:26  $GPGSV,3,3,11,28,,,40,36,48,022,44,49,48,337,46*7A
17:54:26  $GLGSV,3,1,09,65,00,162,,66,24,113,27,67,21,057,32,79,31,348,38*61
17:54:26  $GLGSV,3,2,09,80,52,264,,81,26,134,28,82,51,195,47,83,32,255,30*68
17:54:26  $GLGSV,3,3,09,,,,33*6C
17:54:26  $GNGLL,3352.55451,S,01836.68881,E,175426.00,A,D*68
